Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.05,-.34,-.13,-.01,-.81,-.43,-.26,-.15,-.11,-.04,.05,.65
1881,-.08,-.16,.00,-.32,.10,-.07,-.91,-.41,-.18,.10,.10,-.05,-.07,.58
1882,-.10,-.20,-.01,-.28,-.05,.01,-1.41,-.23,-.12,-.04,-.05,.01,.04,.61
1883,-.16,-.26,-.07,-.32,-.17,-.01,-.19,-.52,-.22,-.17,-.16,-.04,.07,.48
1884,-.28,-.41,-.15,-.58,-.15,-.14,-1.31,-.61,-.44,-.13,-.17,-.19,-.02,.63
1885,-.33,-.43,-.25,-.64,-.14,-.27,-1.52,-.66,-.45,-.06,-.21,-.33,-.15,.80
1886,-.31,-.42,-.20,-.56,-.20,-.21,-1.60,-.48,-.40,-.21,-.19,-.20,-.21,.57
1887,-.36,-.43,-.29,-.51,-.30,-.28,-1.77,-.48,-.28,-.29,-.31,-.27,-.26,.30
1888,-.17,-.23,-.12,-.40,.09,-.29,-1.31,-.40,-.23,.07,.12,-.31,-.23,.14
1889,-.10,-.17,-.04,-.28,.07,-.16,-.69,-.20,-.27,.02,.13,-.15,-.15,.43
1890,-.35,-.38,-.32,-.44,-.37,-.22,-1.14,-.53,-.26,-.27,-.48,-.17,-.27,.13
1891,-.22,-.26,-.19,-.42,-.08,-.21,-1.15,-.33,-.36,.00,-.17,-.18,-.24,-.17
1892,-.27,-.39,-.15,-.43,-.30,-.08,-1.18,-.64,-.17,-.33,-.27,.03,-.22,.07
1893,-.31,-.48,-.15,-.51,-.36,-.04,-.74,-.54,-.46,-.42,-.31,.07,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.34,-.24,-1.00,-.33,-.18,-.48,-.19,-.14,-.35,-.39
1895,-.22,-.30,-.15,-.40,-.07,-.25,-.71,-.52,-.26,-.14,.00,-.19,-.32,-.60
1896,-.11,-.19,-.03,-.35,.10,-.15,-.92,-.36,-.21,.05,.14,-.15,-.13,.24
1897,-.11,-.16,-.05,-.35,.17,-.23,-.60,-.45,-.23,.13,.20,-.18,-.27,.39
1898,-.27,-.27,-.26,-.32,-.22,-.26,-1.13,-.18,-.22,-.19,-.26,-.27,-.21,.36
1899,-.17,-.20,-.14,-.23,-.12,-.19,-1.04,-.07,-.14,-.16,-.08,-.15,-.22,.57
1900,-.07,-.08,-.06,-.18,.17,-.29,-.53,-.11,-.15,.09,.25,-.28,-.29,.25
1901,-.15,-.12,-.18,-.15,-.04,-.30,-.38,-.08,-.14,-.06,-.01,-.26,-.34,.24
1902,-.27,-.32,-.22,-.50,-.04,-.34,-1.31,-.48,-.32,-.02,-.05,-.27,-.43,-.06
1903,-.36,-.36,-.36,-.45,-.28,-.38,-.20,-.40,-.55,-.23,-.33,-.35,-.40,-.47
1904,-.46,-.47,-.45,-.49,-.46,-.43,-.14,-.58,-.54,-.43,-.48,-.36,-.49,-1.30
1905,-.26,-.28,-.22,-.39,-.08,-.35,-.04,-.21,-.61,-.11,-.04,-.32,-.37,-.31
1906,-.22,-.23,-.20,-.24,-.19,-.23,-.27,-.04,-.38,-.21,-.16,-.20,-.22,-.69
1907,-.38,-.47,-.29,-.58,-.30,-.29,-.56,-.70,-.51,-.30,-.30,-.20,-.37,-1.18
1908,-.42,-.45,-.40,-.47,-.44,-.35,-.23,-.53,-.51,-.42,-.45,-.28,-.48,.70
1909,-.48,-.49,-.47,-.52,-.47,-.44,-.73,-.60,-.43,-.44,-.51,-.37,-.52,-.55
1910,-.43,-.44,-.42,-.40,-.48,-.37,-.56,-.22,-.49,-.49,-.47,-.32,-.45,.18
1911,-.43,-.41,-.45,-.41,-.41,-.48,-.26,-.40,-.46,-.42,-.41,-.43,-.53,.07
1912,-.35,-.46,-.24,-.58,-.17,-.36,-.49,-.77,-.49,-.27,-.07,-.36,-.29,-1.61
1913,-.34,-.42,-.25,-.43,-.26,-.34,-.47,-.32,-.50,-.39,-.13,-.27,-.40,-1.02
1914,-.14,-.18,-.10,-.24,-.05,-.17,-.34,-.15,-.27,-.11,.00,-.15,-.18,-.34
1915,-.13,-.14,-.12,-.23,.00,-.21,-.59,-.16,-.18,-.01,.00,-.14,-.23,-1.96
1916,-.35,-.41,-.30,-.36,-.44,-.22,-.44,-.53,-.24,-.49,-.39,-.22,-.17,-1.03
1917,-.45,-.57,-.35,-.49,-.63,-.18,-.80,-.49,-.43,-.68,-.57,-.22,-.09,.08
1918,-.29,-.39,-.19,-.40,-.33,-.13,-.99,-.26,-.35,-.38,-.27,-.05,-.23,-.26
1919,-.27,-.35,-.19,-.43,-.19,-.22,-.69,-.55,-.30,-.22,-.16,-.14,-.32,.22
1920,-.27,-.30,-.23,-.25,-.25,-.32,.00,-.19,-.35,-.38,-.11,-.18,-.48,-1.12
1921,-.18,-.11,-.26,.02,-.24,-.30,.02,.18,-.09,-.28,-.20,-.22,-.38,-.82
1922,-.28,-.27,-.29,-.24,-.31,-.27,-.29,-.40,-.13,-.32,-.31,-.23,-.28,-.26
1923,-.26,-.22,-.30,-.15,-.29,-.33,.18,-.14,-.26,-.31,-.27,-.26,-.41,-.53
1924,-.27,-.18,-.35,-.13,-.25,-.43,.46,-.25,-.23,-.26,-.24,-.39,-.45,-.51
1925,-.22,-.14,-.29,-.04,-.23,-.37,-.08,.18,-.18,-.27,-.19,-.24,-.55,-.84
1926,-.10,.02,-.21,.03,.02,-.40,.57,.16,-.22,.01,.03,-.34,-.45,-.62
1927,-.21,-.13,-.29,-.13,-.15,-.38,.02,-.21,-.13,-.14,-.17,-.30,-.45,-1.36
1928,-.20,-.10,-.29,-.07,-.15,-.39,.71,-.17,-.23,-.15,-.15,-.28,-.48,-2.10
1929,-.36,-.34,-.37,-.38,-.28,-.45,.14,-.61,-.38,-.28,-.28,-.42,-.44,-1.06
1930,-.16,-.01,-.29,.04,-.11,-.42,.53,.04,-.11,-.09,-.12,-.32,-.47,-2.58
1931,-.09,.04,-.21,.01,.07,-.42,.56,-.04,-.14,.09,.05,-.41,-.40,-.39
1932,-.16,-.06,-.26,.04,-.17,-.34,.49,.20,-.21,-.20,-.15,-.20,-.53,-.97
1933,-.29,-.26,-.31,-.24,-.28,-.34,-.16,-.47,-.12,-.29,-.28,-.21,-.48,-1.13
1934,-.13,.00,-.25,.17,-.25,-.25,.88,.31,-.13,-.26,-.25,-.15,-.38,-.55
1935,-.20,-.10,-.30,-.05,-.19,-.37,.35,-.05,-.16,-.17,-.20,-.30,-.41,-1.69
1936,-.15,-.03,-.26,-.03,-.13,-.29,.40,.10,-.26,-.05,-.21,-.26,-.33,-.01
1937,-.03,.12,-.17,.20,-.05,-.22,1.24,.03,-.02,.00,-.11,-.18,-.25,.38
1938,.00,.16,-.18,.39,-.23,-.09,1.51,.39,.03,-.18,-.27,-.05,-.11,-.85
1939,-.02,.09,-.13,.22,-.12,-.12,.57,.28,.08,-.11,-.14,-.04,-.18,-1.58
1940,.13,.18,.10,.11,.28,-.06,1.00,-.02,-.09,.27,.29,.03,-.20,-.03
